repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
skooner-k8s/skooner,1193,11,3,2,0,9.220,2,92,1735,47,JavaScript,false,0,Sandbox,2021-01-26,2021-01-26,16.000,0,0,,Observability and Analysis,Monitoring
pipe-cd/pipecd,888,26,19,9,2,29.279,0,0,1280,77,Go,false,54,Sandbox,2023-05-17,2023-05-17,95.000,10,30,1.20,App Definition and Development,Continuous Integration & Delivery
werf/werf,3816,25,9,2,0,6.551,1,0,2880,51,Go,false,86,Sandbox,2022-12-13,2022-12-13,81.000,6,16,1.20,App Definition and Development,Continuous Integration & Delivery
kubeclipper/kubeclipper,241,8,3,2,0,33.195,1,2,545,17,Go,false,60,Sandbox,2023-06-30,2023-06-30,52.000,1,1,1.20,Platform,Certified Kubernetes - Installer
opentracing/opentracing-go,3482,8,2,1,0,2.298,6,654,2940,58,Go,true,1,Archived,2016-10-11,2016-10-11,0.000,0,0,1.14,Observability and Analysis,Tracing
thanos-io/thanos,12308,82,41,23,5,6.662,0,0,2234,582,Go,false,92,Incubating,2019-07-14,2019-07-14,100.000,22,47,1.21,Observability and Analysis,Monitoring
trickstercache/trickster,1927,11,7,4,0,5.708,4,8,2086,66,Go,false,25,Sandbox,2021-03-30,2021-03-30,47.000,7,12,1.21,Observability and Analysis,Monitoring
jaegertracing/jaeger,18749,154,69,39,7,8.214,0,2,2799,307,Go,false,87,Graduated,2017-09-13,2017-09-13,100.000,8,40,1.20,Observability and Analysis,Tracing
open-feature/spec,406,15,6,2,0,36.946,1,1,671,47,Python,false,0,Incubating,2022-06-17,2022-06-17,63.000,3,5,,Observability and Analysis,Feature Flagging
fluent/fluentd,12325,62,27,15,3,5.030,0,1,4561,245,Ruby,false,0,Graduated,2016-11-08,2016-11-08,82.000,2,7,,Observability and Analysis,Logging
open-telemetry/opentelemetry-java,1717,25,9,2,1,14.560,0,0,1752,198,Java,false,0,Incubating,2019-05-07,2019-05-07,95.000,11,54,,Observability and Analysis,Tracing
cortexproject/cortex,5259,24,10,4,2,4.564,0,2,2652,269,Go,false,75,Incubating,2018-09-20,2018-09-20,85.000,8,41,1.21,Observability and Analysis,Monitoring
kuberhealthy/kuberhealthy,1842,19,7,5,1,10.315,0,7,2004,86,Go,false,19,Sandbox,2021-03-30,2021-03-30,53.000,2,7,1.20,Observability and Analysis,Monitoring
sustainable-computing-io/kepler,808,37,15,9,1,45.792,0,0,681,46,Go,false,23,Sandbox,2023-05-17,2023-05-17,95.000,12,58,1.20,Observability and Analysis,Monitoring
OpenObservability/OpenMetrics,2191,23,5,1,0,10.497,3,339,2366,37,Go,false,0,Incubating,2018-08-10,2018-08-10,20.000,0,0,,Observability and Analysis,Monitoring
foniod/foniod,411,1,1,0,0,2.433,7,948,2066,4,Rust,true,34,Sandbox,2021-03-30,2021-03-30,0.000,0,0,,Observability and Analysis,Monitoring
pixie-io/pixie,5021,55,25,11,0,10.954,1,1,1387,75,C++,false,97,Sandbox,2021-06-22,2021-06-22,76.000,6,14,1.21,Observability and Analysis,Monitoring
headlamp-k8s/headlamp,1279,56,37,30,16,43.784,0,2,1497,32,TypeScript,false,0,Sandbox,2023-05-17,2023-05-17,100.000,5,61,,Observability and Analysis,Monitoring
inspektor-gadget/inspektor-gadget,1677,34,12,8,1,20.274,0,0,1703,35,C,false,58,Sandbox,2023-03-07,2023-03-07,95.000,8,123,1.21,Observability and Analysis,Monitoring
prometheus/prometheus,50984,445,214,123,22,8.728,0,1,4037,851,Go,false,85,Graduated,2016-05-09,2016-05-09,100.000,34,142,1.20,Observability and Analysis,Monitoring
opencost/opencost,4365,98,49,32,10,22.451,0,0,1723,101,Go,false,60,Sandbox,2022-06-17,2022-06-17,100.000,23,112,1.19,Observability and Analysis,Continuous Optimization
chaosblade-io/chaosblade,5612,47,25,15,3,8.375,0,90,1738,56,Go,false,15,Sandbox,2021-04-28,2021-04-28,40.000,0,0,1.20,Observability and Analysis,Chaos Engineering
litmuschaos/litmus,3971,54,28,16,3,13.599,0,1,2465,175,Go,false,0,Incubating,2020-06-25,2020-06-25,86.000,8,17,,Observability and Analysis,Chaos Engineering
chaos-mesh/chaos-mesh,6096,46,15,7,2,7.546,0,2,1562,186,Go,false,81,Incubating,2020-07-14,2020-07-14,77.000,5,5,1.20,Observability and Analysis,Chaos Engineering
artifacthub/hub,1422,28,8,3,1,19.691,0,3,1430,40,TypeScript,false,52,Sandbox,2020-06-25,2020-06-25,67.000,4,8,1.21,App Definition and Development,Application Definition & Image Build
kubeflow/kubeflow,13230,101,44,19,4,7.634,0,7,2205,359,TypeScript,false,0,Incubating,2023-07-25,2023-07-25,72.000,4,4,,Orchestration & Management,Scheduling & Orchestration
