repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
kubewarden/kubewarden-controller,160,5,3,2,1,31.250,0,3,1105,16,Go,false,14,Sandbox,2022-06-17,2022-06-17,62.000,6,28,1.21,Provisioning,Security & Compliance
kyverno/kyverno,4675,112,43,22,4,23.957,0,0,1774,263,Go,false,89,Incubating,2020-11-10,2020-11-10,100.000,19,128,1.21.4,Provisioning,Security & Compliance
notaryproject/notation,234,5,1,1,0,21.368,1,1,1333,38,Go,false,10,Incubating,2017-10-24,2017-10-24,58.000,5,11,1.21,Provisioning,Security & Compliance
open-policy-agent/opa,8714,86,32,17,3,9.869,0,0,2908,410,Go,false,43,Graduated,2018-03-29,2018-03-29,100.000,17,49,1.19,Provisioning,Security & Compliance
opcr-io/policy,185,9,4,2,0,48.649,1,3,807,11,Go,false,26,Sandbox,2022-12-13,2022-12-13,44.000,2,10,1.19,Provisioning,Security & Compliance
openfga/openfga,1739,108,58,37,5,62.105,0,0,554,38,Go,false,46,Sandbox,2022-09-14,2022-09-14,100.000,8,43,1.21.5,Provisioning,Security & Compliance
paralus/paralus,857,7,3,2,0,8.168,4,35,552,23,Go,false,47,Sandbox,2022-12-14,2022-12-14,18.000,0,0,1.20,Provisioning,Security & Compliance
parallaxsecond/parsec,434,5,2,2,0,11.521,4,7,1694,35,Rust,false,28,Sandbox,2020-06-25,2020-06-25,42.000,2,30,,Provisioning,Security & Compliance
slimtoolkit/slim,17585,145,73,30,5,8.246,0,4,3018,61,Go,false,34,Sandbox,2023-05-17,2023-05-17,100.000,3,21,1.21,Provisioning,Security & Compliance
getsops/sops,14370,223,107,56,8,15.518,0,3,3045,130,Go,false,40,Sandbox,2023-05-17,2023-05-17,100.000,8,30,1.19,Provisioning,Security & Compliance
theupdateframework/python-tuf,1559,9,4,2,1,5.773,0,1,3969,83,Python,false,0,Graduated,2017-10-24,2017-10-24,72.000,4,36,,Provisioning,Security & Compliance
AthenZ/athenz,820,11,5,3,1,13.415,0,1,2584,70,Java,false,26,Sandbox,2021-01-26,2021-01-26,76.000,8,42,1.20,Provisioning,Key Management
spiffe/spiffe,1343,17,6,4,1,12.658,0,1,2320,47,Shell,false,0,Graduated,2018-03-29,2018-03-29,73.000,1,2,,Provisioning,Key Management
spiffe/spire,1577,33,14,7,1,20.926,0,0,2316,165,Go,false,85,Graduated,2018-03-29,2018-03-29,95.000,10,47,1.21,Provisioning,Key Management
tellerops/teller,1915,31,7,4,0,16.188,4,86,995,26,Go,false,42,Sandbox,2022-04-26,2022-04-26,25.000,0,0,1.18,Provisioning,Key Management
carina-io/carina,648,8,4,1,0,12.346,5,83,848,15,Go,false,28,Sandbox,2022-12-14,2022-12-14,12.000,0,0,1.19,Runtime,Cloud Native Storage
cubeFS/cubefs,4124,36,19,13,2,8.729,0,0,1759,102,Go,false,41,Incubating,2019-12-16,2019-12-16,95.000,13,73,1.17,Runtime,Cloud Native Storage
opencurve/curve,2131,29,10,5,2,13.609,0,0,1261,73,C++,false,0,Sandbox,2022-06-17,2022-06-17,95.000,13,31,,Runtime,Cloud Native Storage
